Size,Insertion/Deletion Frequency,Search Randomness,Search Prediction,Data Structure
144,0.003,0.471,3,TREE_MAP
4176,0.435,0.189,68,TREE_MAP
7056,0.147,0.456,125,HASH_MAP
144,0.003,0.296,1,SEQUENCE
3312,0.138,0.472,50,SEQUENCE
23472,0.978,0.18,191,SINGLY_LINKED_LIST
6192,0.645,0.222,113,HASH_MAP
144,0.015,0.306,3,TREE_MAP
2256,0.94,0.444,43,SINGLY_LINKED_LIST
10608,0.884,0.326,99,HASH_MAP
21744,0.453,0.093,274,HASH_MAP
336,0.07,0.325,5,SEQUENCE
13488,0.562,0.053,3,HASH_MAP
38832,0.809,0.416,655,HASH_MAP
1776,0.296,0.226,6,TREE_MAP
26352,0.549,0.288,270,HASH_MAP
3408,0.284,0.282,39,SEQUENCE
4176,0.87,0.167,34,SINGLY_LINKED_LIST
8784,0.732,0.155,121,HASH_MAP
6096,0.254,0.255,81,HASH_MAP
1872,0.156,0.392,18,HASH_MAP
2352,0.098,0.276,33,SEQUENCE
7248,0.604,0.052,123,HASH_MAP
5616,0.234,0.423,53,HASH_MAP
4368,0.91,0.18,47,SINGLY_LINKED_LIST
14352,0.299,0.307,93,HASH_MAP
39024,0.813,0.318,581,HASH_MAP
3888,0.81,0.024,56,SEQUENCE
11952,0.498,0.022,218,HASH_MAP
11664,0.243,0.423,27,HASH_MAP
9552,0.995,0.27,51,HASH_MAP
3888,0.81,0.01,65,SINGLY_LINKED_LIST
33168,0.691,0.452,10,HASH_MAP
20688,0.431,0.456,59,HASH_MAP
10992,0.229,0.221,157,HASH_MAP
384,0.32,0.412,0,SINGLY_LINKED_LIST
14736,0.614,0.242,290,HASH_MAP
27696,0.577,0.44,560,HASH_MAP
3456,0.576,0.052,11,HASH_MAP
3504,0.584,0.11,23,HASH_MAP
8976,0.748,0.083,17,SINGLY_LINKED_LIST
43632,0.909,0.279,231,SINGLY_LINKED_LIST
27504,0.573,0.004,360,HASH_MAP
16656,0.694,0.396,251,HASH_MAP
14544,0.303,0.032,214,HASH_MAP
46608,0.971,0.195,928,HASH_MAP
16752,0.698,0.29,249,HASH_MAP
432,0.45,0.29,9,SEQUENCE
11952,0.996,0.343,47,HASH_MAP
336,0.007,0.197,3,SEQUENCE
31824,0.663,0.366,341,HASH_MAP
4464,0.744,0.271,10,SEQUENCE
45264,0.943,0.106,591,HASH_MAP
576,0.48,0.397,2,SEQUENCE
45648,0.951,0.135,829,HASH_MAP
8688,0.181,0.324,128,HASH_MAP
22128,0.461,0.431,449,HASH_MAP
8688,0.724,0.44,175,HASH_MAP
35472,0.739,0.464,400,HASH_MAP
192,0.032,0.382,2,TREE_MAP
2832,0.295,0.157,11,HASH_MAP
4032,0.672,0.086,51,SEQUENCE
10416,0.217,0.167,138,HASH_MAP
5568,0.928,0.241,42,SINGLY_LINKED_LIST
816,0.425,0.341,6,SINGLY_LINKED_LIST
8016,0.334,0.463,44,HASH_MAP
5808,0.121,0.122,110,SEQUENCE
3216,0.067,0.36,64,HASH_MAP
11472,0.956,0.202,156,HASH_MAP
